10|POA|POA|OVG|VOP|SYSTEM|SYSTEM
32|DSI|DSI|IDE|QDE|SYSTEM|SYSTEM
32|DSI|DSI|IDP|QDP|SYSTEM|SYSTEM
32|ITM|ITM|IEF|QEF|SYSTEM|SYSTEM
32|ITM|ITM|IEP|QEP|SYSTEM|SYSTEM
32|PDF|PDF|IFE|QFE|SYSTEM|SYSTEM
32|PDF|PDF|IFP|QFP|SYSTEM|SYSTEM
32|POA|POA|IPE|QPE|SYSTEM|SYSTEM
32|POA|POA|IPF|QPF|SYSTEM|SYSTEM
35|DSI|DSI|IDE|QDE|SYSTEM|SYSTEM
35|DSI|DSI|IDP|QDP|SYSTEM|SYSTEM
35|ITM|ITM|IEE|QEE|SYSTEM|SYSTEM
35|ITM|ITM|IEF|QEF|SYSTEM|SYSTEM
35|ITM|ITM|IEP|QEP|SYSTEM|SYSTEM
35|PDF|PDF|IFE|QFE|SYSTEM|SYSTEM
35|PDF|PDF|IFP|QFP|SYSTEM|SYSTEM
35|POA|POA|IPE|QPE|SYSTEM|SYSTEM
35|POA|POA|IPF|QPF|SYSTEM|SYSTEM
35|POA|POA|IPP|QPP|SYSTEM|SYSTEM
36|DSI|DSI|IDE|QDE|SYSTEM|SYSTEM
36|DSI|DSI|IDP|QDP|SYSTEM|SYSTEM
36|ITM|ITM|IEE|QEE|SYSTEM|SYSTEM
36|ITM|ITM|IEF|QEF|SYSTEM|SYSTEM
36|ITM|ITM|IEP|QEP|SYSTEM|SYSTEM
36|PDF|PDF|IFE|QFE|SYSTEM|SYSTEM
36|PDF|PDF|IFP|QFP|SYSTEM|SYSTEM
36|POA|POA|IPE|QPE|SYSTEM|SYSTEM
36|POA|POA|IPF|QPF|SYSTEM|SYSTEM
36|POA|POA|IPP|QPP|SYSTEM|SYSTEM
42|POA|POA|OPT|QPT|SYSTEM|SYSTEM
42|ITM|ITM|OPT|QPT|SYSTEM|SYSTEM
42|POA|POA|PPT|QTP|SYSTEM|SYSTEM
42|ITM|ITM|PPT|QTP|SYSTEM|SYSTEM
44|DSI|DSI|OPT|PPT|SYSTEM|SYSTEM
44|POA|POA|OPT|PPT|SYSTEM|SYSTEM
44|ITM|ITM|OPT|PPT|SYSTEM|SYSTEM
45|DSI|DSI|OPT|OVT|SYSTEM|SYSTEM
45|POA|POA|OPT|OVT|SYSTEM|SYSTEM
45|ITM|ITM|OPT|OVT|SYSTEM|SYSTEM
46|DSI|DSI|OPT|OFC|SYSTEM|SYSTEM
46|POA|POA|OPT|OFC|SYSTEM|SYSTEM
46|ITM|ITM|OPT|OFC|SYSTEM|SYSTEM
