TRANSFER_MEMBER_TO_MERCHANT|DEPOSIT|DSI|VDS|
TRANSFER_SYSTEM_TO_MERCHANT|SETTLEMENT|STR|VST|
ADJUSTMENT_MERCHANT_CREDIT|ADJUSTMENT|m00|y00|
ADJUSTMENT_MERCHANT_DEBIT|ADJUSTMENT|m01|y01|
ADJUSTMENT_COMMISSION_CREDIT|ADJUSTMENT|m02|y02|
ADJUSTMENT_FRAUDULENT_DEBIT|ADJUSTMENT|m03|y03|
ADJUSTMENT_FUND_TRANSFER_CREDIT|ADJUSTMENT|m04|y04|
ADJUSTMENT_PAYOUT_DEBIT|ADJUSTMENT|m05|y05|
ADJUSTMENT_INTERNAL_BALANCE_FEE_DEBIT|ADJUSTMENT|m06|y06|
ADJUSTMENT_FUND_TRANSFER_NBA_DEBIT|ADJUSTMENT|m07|y07|
PAYOUT_MASTER_TRANSACTION|PAYOUT|POU||
PAYOUT_CREDIT_ADJUSTMENT|PAYOUT REVERSE|VPO||
