P0001,CLICKPAY,CLICKPAY,Clickpay,,,3,CN,RMB,CLICKPAY,ClickPay,G
P0002,PAYOUT_ABC,PAYOUT_ABC,PAYOUT_ABC,,,3,CN,RMB,PO_ABC,Payout_ABC,G
P0003,PAYOUT_AIP03,PAYOUT_AIP03,PAYOUT_AIP03,,,3,CN,RMB,PO_AIP03,Payout_AIP03,G
P0004,PAYOUT_AIP05,PAYOUT_AIP05,PAYOUT_AIP05,,,3,CN,RMB,PO_AIP05,Payout_AIP05,G
P0005,PAYOUT_CMB,PAYOUT_CMB,PAYOUT_CMB,,,3,CN,RMB,PO_CMB,Payout_CMB,G
P0006,PAYOUT_Hacken_CCB,PAYOUT_Hacken_CCB,PAYOUT_Hacken_CCB,,,3,CN,RMB,PO_H_CCB,Payout_Hacken_CCB,G
P0007,PAYOUT_Hacken_ICBC,PAYOUT_Hacken_ICBC,PAYOUT_Hacken_ICBC,,,3,CN,RMB,PO_H_ICBC,Payout_Hacken_ICBC,G
P0008,PAYOUT_ICBC,PAYOUT_ICBC,PAYOUT_ICBC,,,3,CN,RMB,PO_ICBC,Payout_ICBC,G
P0009,HM-CHINAPAY,PROCHUB_CHINAPAY0160,ProcHub HM Chinapay160,CHINAPAY,HuanMei ChinaPay,1,CN,RMB,HCNP160,HM_ChinaPay_160,G
P0009,HM-CHINAPAY,PROCHUB_CHINAPAY0161,ProcHub HM Chinapay161,CHINAPAY,HuanMei ChinaPay,1,CN,RMB,HCNP161,HM_ChinaPay_161,G
P0009,HM-CHINAPAY,PROCHUB_CHINAPAY0162,ProcHub HM Chinapay162,CHINAPAY,HuanMei ChinaPay,1,CN,RMB,HCNP162,HM_ChinaPay_162,G
P0009,HM-CHINAPAY,PROCHUB_CHINAPAY0164,ProcHub HM Chinapay164,CHINAPAY,HuanMei ChinaPay,1,CN,RMB,HCNP164,HM_ChinaPay_164,G
P0010,HAIPAY,HAIPAY,HaiPay,HAIPAY,HaiPay,1,CN,RMB,HPAY,HaiPay,G
P0010,HAIPAY,HAIPAY0001,HaiPay0001,HAIPAY,HaiPay,1,CN,RMB,HPAY0001,HaiPay_0001,G
P0010,HAIPAY,HAIPAY2,HaiPay2,HAIPAY,HaiPay,1,CN,RMB,HPAY2,HaiPay2,G
P0010,HAIPAY,HAIPAY2075,HaiPay2075,HAIPAY,HaiPay,1,CN,RMB,HPAY2075,HaiPay_2075,G
P0010,HAIPAY,HAIPAY2076,HaiPay2076,HAIPAY,HaiPay,1,CN,RMB,HPAY2076,HaiPay_2076,G
