GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1
43100|DC Merchant Commission - Offline|||Offline|China|Credit|GBP| (1,987.34)| (25,346.29)||
43100|DC Merchant Commission - Offline|||Offline|China|Credit|HKD| (620,346.83)| (620,346.83)||
43100|DC Merchant Commission - Offline|||Offline|China|Credit|RMB| (285,879,708.34)| (352,808,567.52)||
43110|DC Merchant Commission - Hybrid|||Hybrid|China|Credit|RMB| (580,993,339.32)| (719,408,284.04)||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|EUR| (293.77)| (3,102.45)||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|GBP| (6.60)| (82.84)||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|HKD| (11,024,693.48)| (11,024,693.48)||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|RMB| (19,891,374.25)| (24,924,826.61)||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|USD| (1,407,322.65)| (10,916,552.23)||
43130|DC Merchant Commission - Mobile |||Mobile|China|Credit|RMB| (10,885,750.40)| (13,705,800.32)||
43140|DC Merchant Commission - Offline Taiwan|||Offline|Taiwan|Credit|TWD| (1,010,351.03)| (262,324.33)||
43150|DC Merchant Commission - Voucher|||Voucher|China|Credit|RMB| (1.62)| (2.05)||
43160|DC Merchant Commission - WebATM|||WebATM|Taiwan|Credit|TWD| (56,735,168.43)| (14,821,179.33)||
43200|Local Payout Fees - Offline|||Offline|China|Credit|RMB| (133,131,699.74)| (164,635,063.78)||
43210|Local Payout Fees - Hybrid|||Hybrid|China|Credit|RMB| (79.88)| (94.58)||
43220|Local Payout Fees - Gateway|||Gateway|China|Credit|EUR| (7.50)| (83.43)||
43220|Local Payout Fees - Gateway|||Gateway|China|Credit|RMB| (9,672,157.60)| (12,135,463.16)||
43220|Local Payout Fees - Gateway|||Gateway|China|Credit|USD| (26,234.27)| (203,643.84)||
43230|Local Payout Fees - WebATM|||WebATM|Taiwan|Credit|TWD| (16,277,043.92)| (4,257,092.30)||
43300|FX Markup Fees - Offline|||Offline|China|Credit|GBP| (2,459.61)| (30,044.02)||
43300|FX Markup Fees - Offline|||Offline|China|Credit|HKD| (559,511.92)| (559,511.92)||
43300|FX Markup Fees - Offline|||Offline|China|Credit|RMB| (150,327.49)| (184,402.74)||
43310|FX Markup Fees - Hybrid|||Hybrid|China|Credit|HKD| (53,965,579.47)| (53,965,579.47)||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|EUR| (39,318.00)| (394,501.07)||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|GBP| -   | (0.06)||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|HKD| (5,491,570.33)| (5,491,570.33)||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|RMB| (23,971,124.30)| (29,607,727.91)||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|USD| (16,282.91)| (126,248.22)||
43330|FX Markup Fees - Mobile |||Mobile|China||| -   | -   ||
