GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1|Column2|Column3||||||||||||||||||||||||||||
43100|DC Merchant Commission - Offline|||Offline|China|Credit|GBP| (1,987.34)| (25,346.29)|12.75387704|||x||||||||||||||||||||||||||||
43100|DC Merchant Commission - Offline|||Offline|China|Credit|HKD| (620,346.83)| (620,346.83)|1|||x||||||||||||||||||||||||||||
43100|DC Merchant Commission - Offline|||Offline|China|Credit|RMB| (285,879,708.34)| (352,808,567.52)|1.234115459|||x||||||||||||||||||||||||||||
43110|DC Merchant Commission - Hybrid|||Hybrid|China|Credit|RMB| (580,993,339.32)| (719,408,284.04)|1.238238436|||x||||||||||||||||||||||||||||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|EUR| (293.77)| (3,102.45)|10.56081288|||x||||||||||||||||||||||||||||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|GBP| (6.60)| (82.84)|12.55151515|||x||||||||||||||||||||||||||||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|HKD| (11,024,693.48)| (11,024,693.48)|1|||x||||||||||||||||||||||||||||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|RMB| (19,891,374.25)| (24,924,826.61)|1.253046989|||x||||||||||||||||||||||||||||
43120|DC Merchant Commission - Gateway|||Gateway|China|Credit|USD| (1,407,322.65)| (10,916,552.23)|7.75696478|||x||||||||||||||||||||||||||||
43130|DC Merchant Commission - Mobile |||Mobile|China|Credit|RMB| (10,885,750.40)| (13,705,800.32)|1.259058844|||x||||||||||||||||||||||||||||
43140|DC Merchant Commission - Offline Taiwan|||Offline|Taiwan|Credit|TWD| (1,010,351.03)| (262,324.33)|0.259636821|||x||||||||||||||||||||||||||||
43150|DC Merchant Commission - Voucher|||Voucher|China|Credit|RMB| (1.62)| (2.05)|1.265432099|||x||||||||||||||||||||||||||||
43160|DC Merchant Commission - WebATM|||WebATM|Taiwan|Credit|TWD| (56,735,168.43)| (14,821,179.33)|0.261234429|||x||||||||||||||||||||||||||||
43200|Local Payout Fees - Offline|||Offline|China|Credit|RMB| (133,131,699.74)| (164,635,063.78)|1.236633079|||x||||||||||||||||||||||||||||
43210|Local Payout Fees - Hybrid|||Hybrid|China|Credit|RMB| (79.88)| (94.58)|1.184026039|||x||||||||||||||||||||||||||||
43220|Local Payout Fees - Gateway|||Gateway|China|Credit|EUR| (7.50)| (83.43)|11.124|||x||||||||||||||||||||||||||||
43220|Local Payout Fees - Gateway|||Gateway|China|Credit|RMB| (9,672,157.60)| (12,135,463.16)|1.254680048|||x||||||||||||||||||||||||||||
43220|Local Payout Fees - Gateway|||Gateway|China|Credit|USD| (26,234.27)| (203,643.84)|7.762512164|||x||||||||||||||||||||||||||||
43230|Local Payout Fees - WebATM|||WebATM|Taiwan|Credit|TWD| 43,300.00 | (4,257,092.30)|-98.3162194|||x||||||||||||||||||||||||||||
43300|FX Markup Fees - Offline|||Offline|China|Credit|GBP| (2,459.61)| (30,044.02)|12.21495278|||x||||||||||||||||||||||||||||
43300|FX Markup Fees - Offline|||Offline|China|Credit|HKD| (559,511.92)| (559,511.92)|1|||x||||||||||||||||||||||||||||
43300|FX Markup Fees - Offline|||Offline|China|Credit|RMB| (150,327.49)| (184,402.74)|1.226673445|||x||||||||||||||||||||||||||||
43310|FX Markup Fees - Hybrid|||Hybrid|China|Credit|HKD| (53,965,579.47)| (53,965,579.47)|1|||x||||||||||||||||||||||||||||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|EUR| (39,318.00)| (394,501.07)|10.03359962|||x||||||||||||||||||||||||||||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|HKD| (0.06)| (0.06)|1|||x||||||||||||||||||||||||||||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|HKD| (5,491,570.33)| (5,491,570.33)|1|||x||||||||||||||||||||||||||||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|RMB| (23,971,124.30)| (29,607,727.91)|1.235141395|||x||||||||||||||||||||||||||||
43320|FX Markup Fees - Gateway|||Gateway|China|Credit|USD| (16,282.91)| (126,248.22)|7.753418769|||x||||||||||||||||||||||||||||
43330|FX Markup Fees - Mobile |||Mobile|China|Credit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
43340|FX Markup Fees - Voucher|||Voucher|China|Credit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
43350|FX Markup Fees - WebATM|||WebATM|Taiwan|Credit|TWD| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
43400|Merchant Settlement Fees - Offline|||Offline|China|Credit|RMB| -   ||#DIV/0!|||x||||||||||||||||||||||||||||
43400|Merchant Settlement Fees - Offline|||Offline|Taiwan|Credit|TWD| (291,780.90)| (76,364.44)|0.261718433|||x||||||||||||||||||||||||||||
43410|Merchant Settlement Fees - Hybrid|||Hybrid|China|Credit|RMB| (80,439,582.07)| (99,576,205.18)|1.237900579|||x||||||||||||||||||||||||||||
43420|Merchant Settlement Fees - Gateway|||Gateway|China|Credit|HKD| 17.37 | 17.37 |1|||x||||||||||||||||||||||||||||
43430|Merchant Settlement Fees - Mobile |||Mobile|China|Credit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
43440|Merchant Settlement Fees - Voucher|||Voucher|China|Credit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
43450|Merchant Settlement Fees - WebATM|||WebATM|Taiwan|Credit|TWD| (9,958,365.31)| (2,599,703.65)|0.261057269|||x||||||||||||||||||||||||||||
53110|D&W Processing Fees (Offline)|||Offline|China|Debit|RMB| 234,852,940.81 | 290,737,718.17 |1.237956473|||x||||||||||||||||||||||||||||
53110|D&W Processing Fees (Offline)|||Offline|Taiwan|Debit|HKD| 402.33 | 402.33 |1|||x||||||||||||||||||||||||||||
53110|D&W Processing Fees (Offline)|||Offline|China|Debit|HKD| 139,747.94 | 139,747.94 |1|||x||||||||||||||||||||||||||||
53120|D&W Processing Fees (Hybrid)|||Hybrid|China|Debit|RMB| 223,422,272.19 | 276,476,085.22 |1.237459822|||x||||||||||||||||||||||||||||
53130|D&W Processing Fees (Gateway)|||Gateway|China|Debit|RMB| 12,108,161.24 | 15,216,465.15 |1.256711473|||x||||||||||||||||||||||||||||
53140|D&W Processing Fees - Mobile |||Mobile|China|Debit|RMB| 4,456,877.60 | 5,606,927.89 |1.25803946|||x||||||||||||||||||||||||||||
53145|D&W Processing Cost - Offline Taiwan|||Offline|Taiwan|Debit|HKD| 106,699.11 | 106,699.11 |1|||x||||||||||||||||||||||||||||
53145|D&W Processing Cost - Offline Taiwan|||Offline|Taiwan|Debit|TWD| 11,716.00 | 3,031.80 |0.258774326|||x||||||||||||||||||||||||||||
53146|D & W Processing Fees - Voucher|||Voucher|China|Debit|RMB| 1.02 | 1.29 |1.264705882|||x||||||||||||||||||||||||||||
53147|D&W Processing Fees (WebATM)|||WebATM|Taiwan|Debit|TWD| 12,618,002.89 | 3,292,212.99 |0.260913951|||x||||||||||||||||||||||||||||
53160|Bank FX Commission (Offline)|||Offline|China|Debit|GBP| 251.14 | 3,076.20 |12.24894481|||x||||||||||||||||||||||||||||
53160|Bank FX Commission (Offline)|||Offline|China|Debit|HKD| 31,182.39 | 31,182.39 |1|||x||||||||||||||||||||||||||||
53160|Bank FX Commission (Offline)|||Offline|China|Debit|RMB| 44,426,694.14 | 54,605,235.31 |1.229108678|||x||||||||||||||||||||||||||||
53170|Bank FX Commission (Hybrid)|||Hybrid|China|Debit|EUR| 84.49 | 882.02 |10.43934193|||x||||||||||||||||||||||||||||
53170|Bank FX Commission (Hybrid)|||Hybrid|China|Debit|GBP| 23.79 | 292.02 |12.27490542|||x||||||||||||||||||||||||||||
53170|Bank FX Commission (Hybrid)|||Hybrid|China|Debit|HKD| 3,279,035.65 | 3,279,035.65 |1|||x||||||||||||||||||||||||||||
53170|Bank FX Commission (Hybrid)|||Hybrid|China|Debit|RMB| 111,892,359.34 | 138,410,761.05 |1.236999218|||x||||||||||||||||||||||||||||
53180|Bank FX Commission (Gateway)|||Gateway|China|Debit|HKD| 0.47 | 0.47 |1|||x||||||||||||||||||||||||||||
53180|Bank FX Commission (Gateway)|||Gateway|China|Debit|HKD| 171,856.25 | 171,856.25 |1|||x||||||||||||||||||||||||||||
53180|Bank FX Commission (Gateway)|||Gateway|China|Debit|RMB| 6,225,708.63 | 7,814,884.47 |1.255260234|||x||||||||||||||||||||||||||||
53180|Bank FX Commission (Gateway)|||Gateway|China|Debit|USD| 1,215.33 | 9,423.86 |7.754157307|||x||||||||||||||||||||||||||||
53180|Bank FX Commission (Gateway)|||Gateway|China|Debit|EUR| 1,132.15 | 11,660.17 |10.29913881|||x||||||||||||||||||||||||||||
53190|Bank FX Commission -  Mobile |||Mobile|China|Debit|HKD| 181.18 | 181.18 |1|||x||||||||||||||||||||||||||||
53190|Bank FX Commission -  Mobile |||Mobile|China|Debit|RMB| 493,772.60 | 616,384.81 |1.248317161|||x||||||||||||||||||||||||||||
53195|Bank FX Commission - Offline Taiwan|||Offline|Taiwan|Debit|HKD| 112,331.07 | 112,331.07 |1|||x||||||||||||||||||||||||||||
53196|Bank FX Commission -  Voucher|||Voucher|China|Debit|RMB| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
53197|Bank FX Commission (WebATM)|||WebATM|Taiwan|Debit|TWD| 1,147,590.00 | 299,128.78 |0.260658232|||x||||||||||||||||||||||||||||
54203|Bad Debt - NBX Asia|||Hybrid|China|Debit|RMB|||#DIV/0!| ||||||||||||||||||||||||||||||
54204|Bad Debt - Asia|||Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
54205|Bad Debt - Asia|||Mobile|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
54206|Bad Debt - Asia|||Offline|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
54207|Bad Debt - Asia|||Voucher|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
54208|Bad Debt - Asia|||WebATM|Taiwan|Debit|TWD|||#DIV/0!|||||||||||||||||||||||||||||||
66600|Verification Expenses|||Shared|China|Credit|RMB| (5,989.76)| (7,180.11)|1.198730834| ||x||||||||||||||||||||||||||||
66600|Verification Expenses|||WebATM|Taiwan|Credit|TWD| (4,945.00)| (1,299.30)|0.262750253| ||x||||||||||||||||||||||||||||
82400|Service Charges|||Hybrid|China|Debit|EUR| 25.00 | 258.53 |10.3412| ||x||||||||||||||||||||||||||||
82400|Service Charges|||Hybrid|China|Debit|HKD| 1,168.58 | 1,168.58 |1|||x||||||||||||||||||||||||||||
91650|FX Gain/Loss|FX001|FX Gain/Loss - Hybrid|Hybrid|China|Credit|HKD| (36,790,561.24)| (36,790,561.24)|1|||x||||||||||||||||||||||||||||
91650|FX Gain/Loss|FX002|FX Gain/Loss - Gateway|Gateway|China|Credit|HKD| (491,866.34)| (491,866.34)|1|||x||||||||||||||||||||||||||||
91650|FX Gain/Loss|FX002|FX Gain/Loss - Gateway|Gateway|China|Debit|RMB| 6,670.07 | 8,147.15 |1.22144895|||x||||||||||||||||||||||||||||
91650|FX Gain/Loss|FX003|FX Gain/Loss - Offline|Offline|China|Credit|HKD| (2,430,558.55)| (2,430,558.55)|1|||x||||||||||||||||||||||||||||
91650|FX Gain/Loss|FX004|FX Gain/Loss - Mobile |Mobile|China|Debit|HKD| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
91650|FX Gain/Loss|FX005|FX Gain/Loss - Voucher|Voucher|China|Debit|HKD| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
91650|FX Gain/Loss|FX006|FX Gain/Loss - WebATM|WebATM|Taiwan|Debit|HKD| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR26(A)|PSP Temperory - Hybrid(Available)|Hybrid|China|Debit|RMB| 6,390.30 | 8,407.55 |1.315673756|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR26(F)|PSP Temperory - Hybrid(Float)|Hybrid|China|Debit|RMB| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR27(A)|PSP Temperory  - Gateway(Available)|Gateway|China|Debit|RMB| 1,768.60 | 2,370.03 |1.340059934|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR27(F)|PSP Temperory  - Gateway(Float)|Gateway|China|Debit|RMB| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR141(A)|PSP Temperory  - Mobile(Available)|Mobile|China|Debit|RMB| -   | -   |#DIV/0!|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR141(F)|PSP Temperory  - Mobile(Float)|Mobile|China|Debit|RMB| -   | -   |#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR30|PSP - Mr.Ngan|Offline|China|Debit|RMB| 25,328,109.43 | 31,366,119.83 |1.238391674|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR34|PSP - Mr. Peng|Offline|China|Debit|RMB| 2,896,047.85 | 3,450,562.76 |1.191472979|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR38|PSP - Mr. Peng Bank-in-transit|Offline|China|Credit|RMB| (25,847.84)| (34,812.02)|1.346805768|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR46|PSP - Mr. Ngan Bank-in-transit |Offline|China|Credit|HKD| (11,000.31)| (11,000.31)|1|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR48|PSP - Alan|Offline|China|Debit|RMB| 14,173,357.14 | 17,434,143.00 |1.230064467|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR52(A)|Haipay-Haipay-2098(Available)|Hybrid|China|Debit|RMB| 2,014,455.54 | 2,448,994.79 |1.215710519|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR52(F)|Haipay-Haipay-2098(Float)        |Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR59(A)|Haipay-Haipay-2103(Available)   |Hybrid|China|Debit |RMB| 1,970,143.26 | 2,370,460.04 |1.203191711|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR59(F)|Haipay-Haipay-2103(Float)   |Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR84|PSP - Mr. Xiao|Offline|China|Debit |RMB| 12,306,354.28 | 15,243,816.40 |1.238694747|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR88|PSP - Mr. Chan|Offline|China|Debit |RMB| 3,017,696.72 | 3,661,332.16 |1.213286987|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR102(A)|Haipay-Haipay-0192(Available)|Gateway|China|Debit|RMB| 1,094,899.50 | 1,408,131.67 |1.286083033|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR102(F)|Haipay-Haipay-0192(Float)|Gateway|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
